Time, Latitude, Longitude
1905, 			35.277435lon=-116.05724, 			lat=35.277435-116.05724
1910, 			35.277443lon=-116.057205, 			lat=35.277443-116.057205
1915, 			35.27704lon=-116.05753, 			lat=35.27704-116.05753
1920, 			35.27701lon=-116.05759, 			lat=35.27701-116.05759
1925, 			35.27701lon=-116.05759, 			lat=35.27701-116.05759
1930, 			35.27701lon=-116.05759, 			lat=35.27701-116.05759
1935, 			35.27701lon=-116.05759, 			lat=35.27701-116.05759
1940, 			35.29535lon=-116.02766, 			lat=35.29535-116.02766
1945, 			35.350315lon=-115.94026, 			lat=35.350315-115.94026
1950, 			35.389656lon=-115.84117, 			lat=35.389656-115.84117
1955, 			35.422226lon=-115.7356, 			lat=35.422226-115.7356
1960, 			35.43792lon=-115.67127, 			lat=35.43792-115.67127
1965, 			35.42799lon=-115.6604, 			lat=35.42799-115.6604
1970, 			35.374046lon=-115.60065, 			lat=35.374046-115.60065
1975, 			35.31559lon=-115.55215, 			lat=35.31559-115.55215
1980, 			35.25396lon=-115.51247, 			lat=35.25396-115.51247
1985, 			35.19076lon=-115.503105, 			lat=35.19076-115.503105
1990, 			35.116493lon=-115.54092, 			lat=35.116493-115.54092
1995, 			35.053482lon=-115.60053, 			lat=35.053482-115.60053
2000, 			35.009098lon=-115.65334, 			lat=35.009098-115.65334
2005, 			34.936665lon=-115.64606, 			lat=34.936665-115.64606
2010, 			34.86496lon=-115.63891, 			lat=34.86496-115.63891
2015, 			34.79227lon=-115.61016, 			lat=34.79227-115.61016
2020, 			34.7336lon=-115.668236, 			lat=34.7336-115.668236
2025, 			34.658787lon=-115.67574, 			lat=34.658787-115.67574
2030, 			34.581535lon=-115.64514, 			lat=34.581535-115.64514
2035, 			34.559036lon=-115.70689, 			lat=34.559036-115.70689
2040, 			34.530083lon=-115.74425, 			lat=34.530083-115.74425
2045, 			34.44205lon=-115.73169, 			lat=34.44205-115.73169
2050, 			34.35994lon=-115.69054, 			lat=34.35994-115.69054
2055, 			34.271507lon=-115.7149, 			lat=34.271507-115.7149
2060, 			34.182064lon=-115.72946, 			lat=34.182064-115.72946
2065, 			34.1655lon=-115.82143, 			lat=34.1655-115.82143
2070, 			34.1656lon=-115.91677, 			lat=34.1656-115.91677
2075, 			34.136475lon=-115.972946, 			lat=34.136475-115.972946
2080, 			34.11851lon=-116.03669, 			lat=34.11851-116.03669
2085, 			34.066654lon=-116.024345, 			lat=34.066654-116.024345
2090, 			34.01473lon=-116.03119, 			lat=34.01473-116.03119
